,Card_set,Card_number,Rarity,Card_name,Card_type,Attribute,ATK,DEF,Level,Link_no,Property,M_type1,M_type2,M_type3,M_type4,E_type1,E_type2,E_type3,E_type4,E_type5,E_type6,E_type7,E_type8,E_type9,E_type10,TCG_Banlist
3632,Soul of the Duelist,SOD-EN039,Common,Mind Wipe,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3633,The Shining Darkness,TSHD-EN030,Rare,Delta Tri,Monster,LIGHT,1200,1000,4.0,None,nan,Machine , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
3634,Clash of Rebellions,CORE-EN075,Super Rare,Dried Winds,Trap,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like, Quick-like, Condition,,,,,,,, Unlimited 
3635,Secrets of Eternity,SECE-EN047,Super Rare,El Shaddoll Wendigo,Monster,WIND,200,2800,6.0,None,nan,Psychic , Fusion , Effect,None,Summoning condition, Quick, Condition, Trigger,,,,,,, Unlimited 
3636,Labyrinth of Nightmare,LON-030,Common,Lady Panther,Monster,EARTH,1400,1300,4.0,None,nan,Beast-Warrior , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3637,Dimension Force,DIFO-EN076,Common,Haunted Zombies,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
3638,Ancient Sanctuary,AST-025,Common,Mermaid Knight,Monster,WATER,1500,700,4.0,None,nan,Aqua , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
3639,Dimension of Chaos,DOCS-EN021,Common,Super Soldier Soul,Monster,EARTH,0,0,1.0,None,nan,Warrior , Effect,None,None,Ignition, Ignition, Condition,,,,,,,, Unlimited 
3640,Maximum Gold,MAGO-EN105,Rare,Darklord Morningstar,Monster,DARK,3000,3000,11.0,None,nan,Fairy , Effect,None,None,Summoning condition, Trigger, Continuous, Ignition,,,,,,, Unlimited 
3641,Ancient Sanctuary,AST-071,Ultra Rare,Ghost Knight of Jackal,Monster,EARTH,1700,1600,5.0,None,nan,Beast-Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3642,Dark Crisis,DCR-006,Ultra Rare,Guardian Ceal,Monster,FIRE,1700,1400,4.0,None,nan,Pyro , Effect,None,None,Summoning condition, Ignition,,,,,,,,, Unlimited 
3643,Ignition Assault,IGAS-EN011,Ultra Rare,Ancient Warriors - Virtuous Liu Xuan,Monster,WIND,1400,1200,4.0,None,nan,Beast-Warrior , Effect,None,None,Continuous, Condition, Ignition, Trigger,,,,,,, Unlimited 
3644,Strike of Neos,STON-EN055,Common,Anti-Fusion Device,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3645,Ancient Prophecy,ANPR-EN026,Common,Divine Dragon Aquabizarre,Monster,WATER,2100,1500,5.0,None,nan,Sea Serpent , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3646,Duelist Revolution,DREV-EN097,Common,Genex Worker,Monster,WIND,1200,1200,3.0,None,nan,Machine , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3647,Galactic Overlord,GAOV-EN094,Common,Bright Star Dragon,Monster,LIGHT,1900,1000,4.0,None,nan,Dragon , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3648,Blazing Vortex,BLVO-EN006,Common,Springans Rockey,Monster,FIRE,1800,800,4.0,None,nan,Machine , Effect,None,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
3649,Cosmo Blazer,CBLZ-EN043,Short Print,Star Drawing,Monster,EARTH,1600,1000,4.0,None,nan,Spellcaster , Effect,None,None,Unclassified, Unclassified, Trigger,,,,,,,, Unlimited 
3650,Code of the Duelist,COTD-EN005,Ultra Rare,Salvagent Driver,Monster,LIGHT,2200,2100,6.0,None,nan,Cyberse , Effect,None,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
3651,Cybernetic Horizon,CYHO-EN086,Ultra Rare,Realm of Danger!,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Ignition-like,,,,,,,,, Unlimited 
3652,Pharaoh's Servant,PSV-000,Secret Rare,Jinzo,Monster,DARK,2400,1500,6.0,None,nan,Machine , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
3653,Eternity Code,ETCO-EN056,Super Rare,A.I. Contact,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3654,Dark Crisis,DCR-071,Rare,Infernalqueen Archfiend,Monster,FIRE,900,1500,4.0,None,nan,Fiend , Effect,None,None,Maintenance cost, Continuous, Trigger,,,,,,,, Unlimited 
3655,Lord of the Tachyon Galaxy,LTGY-EN076,Super Rare,Madolche Nights,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3656,Breakers of Shadow,BOSH-EN046,Rare,"Dinoster Power, the Mighty Dracoslayer",Monster,WATER,2000,2950,8.0,None,nan,Dragon , Fusion , Effect,None,Summoning condition, Continuous, Ignition,,,,,,,, Unlimited 
3657,Metal Raiders,MRD-013,Common,Armored Zombie,Monster,DARK,1500,0,3.0,None,nan,Zombie , Normal,None,None,nan,,,,,,,,,, Unlimited 
3658,Photon Shockwave,PHSW-EN054,Common,Evo-Miracle,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3659,Cybernetic Horizon,CYHO-EN072,Rare,Renewal of the World,Trap,nan,,None,,None,Continuous,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
3660,Duelist Revolution,DREV-EN037,Short Print,Final Psychic Ogre,Monster,EARTH,2200,1700,5.0,None,nan,Psychic , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3661,The Lost Millennium,TLM-EN040,Common,Double Attack,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
3662,Metal Raiders,MRD-007,Common,Larvae Moth,Monster,EARTH,500,400,2.0,None,nan,Insect , Effect,None,None,Summoning condition,,,,,,,,,, Unlimited 
3663,Crossed Souls,CROS-EN090,Common,Half Unbreak,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3664,Blazing Vortex,BLVO-EN023,Common,Digital Bug Registrider,Monster,LIGHT,1000,1000,3.0,None,nan,Insect , Effect,None,None,Condition, Trigger, Trigger, Unclassified, Continuous,,,,,, Unlimited 
3665,Shining Victories,SHVI-EN097,Ultra Rare,Hot Red Dragon Archfiend King Calamity,Monster,DARK,4000,3500,12.0,None,nan,Dragon , Synchro , Effect,None,Trigger, Condition, Trigger, Trigger,,,,,,, Unlimited 
3666,Magician's Force,MFC-071,Ultra Rare,Breaker the Magical Warrior,Monster,DARK,1600,1000,4.0,None,nan,Spellcaster , Effect,None,None,Trigger, Continuous, Ignition,,,,,,,, Unlimited 
3667,Spell Ruler,MRL-042,Short Print,Tailor of the Fickle,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3668,Maximum Crisis ,MACR-EN093,Super Rare,Sylvan Princessprite,Monster,LIGHT,1800,100,1.0,None,nan,Plant , Xyz , Effect,None,Ignition, Ignition, Condition,,,,,,,, Unlimited 
3669,Light of Destruction,LODT-EN087,Rare,Flame Spirit Ignis,Monster,FIRE,1500,1200,4.0,None,nan,Pyro , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3670,Battle of Chaos,BACH-EN013,Super Rare,D/D Gryphon,Monster,DARK,1200,1200,4.0,None,nan,Fiend , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Condition, Monster Effect, Ignition, Trigger, Trigger, Condition,,, Unlimited 
3671,Spell Ruler,MRL-045,Ultra Rare,The Forceful Sentry,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Forbidden 
3672,Dimension of Chaos,DOCS-EN097,Common,D/D/D Human Resources,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3673,Circuit Break,CIBR-EN028,Common,Mermail Abyssnerei,Monster,WATER,1200,2000,3.0,None,nan,Aqua , Effect,None,None,Quick, Trigger, Condition,,,,,,,, Unlimited 
3674,Cybernetic Horizon,CYHO-EN078,Rare,The Deep Grave,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3675,Cosmo Blazer,CBLZ-EN097,Super Rare,Brotherhood of the Fire Fist - Horse Prince,Monster,FIRE,2200,2200,6.0,None,nan,Beast-Warrior , Synchro , Effect,None,Trigger, Unclassified,,,,,,,,, Unlimited 
3676,Phantom Rage,PHRA-EN054,Common,Dogmatikacism,Spell,nan,,None,,None,Equip,nan,None,None,None,Continuous-like, Continuous-like, Trigger-like, Condition,,,,,,, Unlimited 
3677,Rising Rampage,RIRA-EN012,Rare,Tenyi Spirit - Adhara,Monster,EARTH,0,0,1.0,None,nan,Wyrm , Tuner , Effect,None,Ignition, Ignition, Condition,,,,,,,, Unlimited 
3678,Duelist Revolution,DREV-EN011,Rare,D.D. Unicorn Knight,Monster,LIGHT,1800,900,4.0,None,nan,Warrior , Effect,None,None,Summoning condition, Trigger,,,,,,,,, Unlimited 
3679,Crossroads of Chaos,CSOC-EN000,Ultra Rare,"Rose, Warrior of Revenge",Monster,FIRE,1600,600,4.0,None,nan,Warrior , Tuner,None,None,Trigger,,,,,,,,,, Unlimited 
3680,Metal Raiders,MRD-020,Common,Roaring Ocean Snake,Monster,WATER,2100,1800,6.0,None,nan,Aqua , Fusion,None,None,nan,,,,,,,,,, Unlimited 
3681,Dark Crisis,DCR-088,Short Print,Falling Down,Spell,nan,,None,,None,Equip,nan,None,None,None,Effect, Continuous-like, Continuous-like, Trigger-like,,,,,,, Unlimited 
3682,Phantom Darkness,PTDN-EN066,Rare,Hate Buster,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3683,Blazing Vortex,BLVO-EN017,Ultra Rare,Windwitch - Freeze Bell,Monster,WIND,1200,1200,3.0,None,nan,Spellcaster , Effect,None,None,Ignition, Condition, Ignition, Unclassified,,,,,,, Unlimited 
3684,Soul Fusion,SOFU-EN072,Rare,Thunder Dragons' Hundred Thunders,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Lingering, Condition,,,,,,,, Unlimited 
3685,Force of the Breaker,FOTB-EN034,Common,Crystal Blessing,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3686,Savage Strike,SAST-EN022,Common,Prank-Kids Rocksies,Monster,EARTH,1500,1500,4.0,None,nan,Rock , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
3687,Crossroads of Chaos,CSOC-EN099,Super Rare,Botanical Lion,Monster,EARTH,1600,2000,4.0,None,nan,Plant , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
3688,Dark Neostorm,DANE-EN018,Rare,World Legacy Guardragon Mardark,Monster,WIND,2600,3000,9.0,None,nan,Dragon , Effect,None,None,Continuous, Condition, Ignition, Trigger,,,,,,, Unlimited 
3689,Duelist Revolution,DREV-EN076,Super Rare,Paradox Fusion,Trap,nan,,None,,None,Counter,nan,None,None,None,Cost, Effect, Lingering,,,,,,,, Unlimited 
3690,Raging Battle,RGBT-EN071,Common,Trap Stun,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3691,Phantom Rage,PHRA-EN071,Common,Tri-Brigade Oath,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
3692,Shining Victories,SHVI-EN060,Common,Beacon of White,Spell,nan,,None,,None,Equip,nan,None,None,None,Activation requirement, Effect, Continuous-like, Continuous-like,,,,,,, Unlimited 
3693,Elemental Energy,EEN-EN009,Common,Reborn Zombie,Monster,DARK,1000,1600,4.0,None,nan,Zombie , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
3694,Gladiator's Assault,GLAS-EN069,Common,Light-Imprisoning Mirror,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
3695,Dimension Force,DIFO-EN069,Common,Pendulum Scale,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3696,Pharaonic Guardian,PGD-070,Common,A Cat of Ill Omen,Monster,DARK,500,300,2.0,None,nan,Beast , Flip , Effect,None,Flip,,,,,,,,,, Unlimited 
3697,Photon Shockwave,PHSW-EN097,Rare,Junk Defender,Monster,EARTH,500,1800,3.0,None,nan,Warrior , Effect,None,None,Trigger, Quick,,,,,,,,, Unlimited 
3698,Lord of the Tachyon Galaxy,LTGY-EN009,Common,Starfish,Monster,WATER,300,300,3.0,None,nan,Aqua , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3699,Abyss Rising,ABYR-EN026,Common,Madolche Marmalmaide,Monster,EARTH,800,2000,4.0,None,nan,Spellcaster , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
3700,Storm of Ragnarok,STOR-EN075,Common,Shien's Scheme,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3701,Ancient Sanctuary,AST-044,Rare,Talisman of Trap Sealing,Spell,nan,,None,,None,Continuous,nan,None,None,None,Activation requirement, Continuous-like, Continuous-like,,,,,,,, Unlimited 
3702,Invasion of Chaos,IOC-067,Ultra Rare,Manticore of Darkness,Monster,FIRE,2300,1000,6.0,None,nan,Beast-Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3703,Maximum Crisis ,MACR-EN055,Common,Disciples of the True Dracophoenix,Spell,nan,,None,,None,Continuous,nan,None,None,None,Ignition-like, Ignition-like, Trigger-like,,,,,,,, Unlimited 
3704,The New Challengers,NECH-EN041,Ultra Rare,Denko Sekka,Monster,LIGHT,1700,1000,4.0,None,nan,Thunder , Effect,None,None,Summoning condition, Continuous,,,,,,,,, Unlimited 
3705,Storm of Ragnarok,STOR-EN055,Super Rare,Stardust Shimmer,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3706,Power of the Duelist,POTD-EN008,Rare,Submarineroid,Monster,WATER,800,1800,4.0,None,nan,Machine , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
3707,Rise of Destiny,RDS-EN027,Common,Mirage Dragon,Monster,LIGHT,1600,600,4.0,None,nan,Dragon , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
3708,Power of the Duelist,POTD-EN059,Common,Synthetic Seraphim,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
3709,Cybernetic Horizon,CYHO-EN056,Common,Cycle of the World,Spell,nan,,None,,None,Ritual,nan,None,None,None,Effect, Ignition-like,,,,,,,,, Unlimited 
3710,Pharaonic Guardian,PGD-010,Common,Timeater,Monster,DARK,1900,1700,6.0,None,nan,Machine , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3711,Light of Destruction,LODT-EN029,Common,Unifrog,Monster,WATER,400,400,2.0,None,nan,Aqua , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
3712,Cybernetic Horizon,CYHO-EN090,Super Rare,Noble Knight Pellinore,Monster,LIGHT,1900,500,4.0,None,nan,Warrior , Effect,None,None,Ignition, Condition,,,,,,,,, Unlimited 
3713,Spell Ruler,MRL-031,Short Print,Gravekeeper's Servant,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
3714,Lord of the Tachyon Galaxy,LTGY-EN006,Common,Little Fairy,Monster,LIGHT,800,800,3.0,None,nan,Fairy , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3715,Ancient Sanctuary,AST-099,Short Print,The Third Sarcophagus,Spell,nan,,None,,None,Continuous,nan,None,None,None,Condition,,,,,,,,,, Unlimited 
3716,Dark Crisis,DCR-040,Common,Fairy of the Spring,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
3717,Crossroads of Chaos,CSOC-EN066,Common,Synchro Strike,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3718,Crossed Souls,CROS-EN000,Rare,Sea Dragoons of Draconia,Monster,WATER,200,2100,3.0,None,nan,Sea Serpent , Pendulum,None,None,Pendulum Effect , Trigger-like, Condition,,,,,,,, Unlimited 
3719,Storm of Ragnarok,STOR-EN088,Secret Rare,Nordic Relic Megingjord,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3720,Crossed Souls,CROS-EN084,Secret Rare,"Dante, Pilgrim of the Burning Abyss",Monster,LIGHT,2800,2500,9.0,None,nan,Fairy , Fusion , Effect,None,Summoning condition, Continuous, Quick, Trigger,,,,,,, Unlimited 
3721,Spell Ruler,MRL-058,Common,Stone Ogre Grotto,Monster,EARTH,1600,1500,5.0,None,nan,Rock,None,None,None,nan,,,,,,,,,, Unlimited 
3722,Photon Shockwave,PHSW-EN093,Super Rare,Gem-Turtle,Monster,EARTH,0,2000,4.0,None,nan,Rock , Effect,None,None,Flip,,,,,,,,,, Unlimited 
3723,Pharaoh's Servant,PSV-063,Super Rare,Fairy Meteor Crush,Spell,nan,,None,,None,Equip,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
3724,Savage Strike,SAST-EN021,Common,Orcust Knightmare,Monster,DARK,100,2000,7.0,None,nan,Machine , Effect,None,None,Continuous, Ignition, Condition,,,,,,,, Unlimited 
3725,Circuit Break,CIBR-EN082,Secret Rare,Vendread Chimera,Monster,DARK,2300,0,5.0,None,nan,Zombie , Ritual , Effect,None,Summoning condition, Quick, Trigger, Condition,,,,,,, Unlimited 
3726,Maximum Gold,MAGO-EN118,Rare,"Grapha, Dragon Lord of Dark World",Monster,DARK,2700,1800,8.0,None,nan,Fiend , Effect,None,None,Unclassified, Trigger,,,,,,,,, Unlimited 
3727,Abyss Rising,ABYR-EN090,Common,Electromagnetic Bagworm,Monster,LIGHT,200,1400,3.0,None,nan,Insect , Flip , Effect,None,Flip, Trigger,,,,,,,,, Unlimited 
3728,Legacy of Darkness,LOD-012,Common,Life Absorbing Machine,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like,,,,,,,,,, Unlimited 
3729,Crossroads of Chaos,CSOC-EN046,Common,Seed of Deception,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3730,Spell Ruler,MRL-044,Common,The Reliable Guardian,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3731,Light of Destruction,LODT-EN014,Rare,Arcana Force XIV - Temperance,Monster,LIGHT,2400,2400,6.0,None,nan,Fairy , Effect,None,None,Quick, Trigger, Continuous, Continuous,,,,,,, Unlimited 
3732,Clash of Rebellions,CORE-EN030,Common,Igknight Margrave,Monster,FIRE,1500,2500,5.0,None,nan,Warrior , Pendulum,None,None,Pendulum Effect , Ignition-like,,,,,,,,, Unlimited 
3733,Ancient Prophecy,ANPR-EN009,Super Rare,Jester Confit,Monster,DARK,0,0,1.0,None,nan,Spellcaster , Effect,None,None,Unclassified, Unclassified, Trigger,,,,,,,, Unlimited 
3734,Force of the Breaker,FOTB-EN011,Common,Volcanic Blaster,Monster,FIRE,1200,600,3.0,None,nan,Pyro , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3735,Abyss Rising,ABYR-EN075,Super Rare,Memory of an Adversary,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
3736,Lord of the Tachyon Galaxy,LTGY-EN050,Rare,Battlin' Boxer Lead Yoke,Monster,FIRE,2200,2000,4.0,None,nan,Warrior , Xyz , Effect,None,Continuous, Trigger,,,,,,,,, Unlimited 
3737,Rise of the Duelist,ROTD-EN081,Common,Abyss Actor - Twinkle Little Star,Monster,DARK,1000,1000,4.0,None,nan,Fiend , Pendulum , Effect,None,Pendulum Effect , Continuous-like, Condition, Ignition-like, Monster Effect, Continuous, Continuous,,,, Unlimited 
3738,Order of Chaos,ORCS-EN079,Rare,Royal Prison,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
3739,Abyss Rising,ABYR-EN099,Secret Rare,Bahamut Shark,Monster,WATER,2600,2100,4.0,None,nan,Sea Serpent , Xyz , Effect,None,Ignition,,,,,,,,,, Unlimited 
3740,Battle of Chaos,BACH-EN027,Common,Submareed Tour Ride,Monster,WATER,2200,0,6.0,None,nan,Dinosaur , Effect,None,None,Continuous, Ignition, Condition,,,,,,,, Unlimited 
3741,Burst of Destiny,BODE-EN072,Common,Swordsoul Assessment,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Trigger-like, Condition,,,,,,,, Unlimited 
3742,Crossed Souls,CROS-EN011,Common,Fluffal Sheep,Monster,EARTH,400,800,2.0,None,nan,Fairy , Effect,None,None,Unclassified, Ignition, Condition,,,,,,,, Unlimited 
3743,Labyrinth of Nightmare,LON-046,Rare,Darklord Marie,Monster,DARK,1700,1200,5.0,None,nan,Fiend , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
3744,Pharaonic Guardian,PGD-079,Rare,Dark Designator,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3745,Dark Crisis,DCR-099,Common,Archfiend's Roar,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect, Condition, Condition,,,,,,, Unlimited 
3746,Order of Chaos,ORCS-EN090,Rare,White Night Queen,Monster,LIGHT,2100,800,7.0,None,nan,Fairy , Effect,None,None,Summoning condition, Ignition,,,,,,,,, Unlimited 
3747,Secrets of Eternity,SECE-EN025,Super Rare,Satellarknight Rigel,Monster,LIGHT,1900,700,4.0,None,nan,Warrior , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
3748,Dark Neostorm,DANE-EN032,Rare,World Chalice Guardragon Almarduke,Monster,WIND,3000,2600,9.0,None,nan,Dragon , Fusion , Effect,None,Summoning condition, Continuous, Trigger,,,,,,,, Unlimited 
3749,Storm of Ragnarok,STOR-EN036,Common,Majioshaleon,Monster,WATER,2000,800,5.0,None,nan,Reptile , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
3750,Abyss Rising,ABYR-EN014,Ultra Rare,Mermail Abysslinde,Monster,WATER,1500,1200,3.0,None,nan,Aqua , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
3751,Elemental Energy,EEN-EN024,Super Rare,"Goldd, Wu-Lord of Dark World",Monster,DARK,2300,1400,5.0,None,nan,Fiend , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3752,Ancient Prophecy,ANPR-EN057,Common,Brain Research Lab,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like, Continuous-like, Continuous-like,,,,,,, Unlimited 
3753,Raging Tempest,RATE-EN031,Common,Yokotuner,Monster,EARTH,800,600,1.0,None,nan,Beast , Tuner , Effect,None,Trigger,,,,,,,,,, Unlimited 
3754,Storm of Ragnarok,STOR-EN044,Super Rare,Watthydra,Monster,LIGHT,1500,1500,7.0,None,nan,Thunder , Synchro , Effect,None,Continuous, Trigger,,,,,,,,, Unlimited 
3755,Ancient Prophecy,ANPR-EN037,Rare,Flamvell Firedog,Monster,FIRE,1900,200,4.0,None,nan,Beast , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
3756,Shadow Specters,SHSP-EN025,Common,Bujingi Boar,Monster,LIGHT,1100,1900,4.0,None,nan,Beast , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3757,Storm of Ragnarok,STOR-EN030,Common,Scrap Shark,Monster,EARTH,2100,0,4.0,None,nan,Fish , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
3758,Labyrinth of Nightmare,LON-002,Common,Swordsman of Landstar,Monster,EARTH,500,1200,3.0,None,nan,Warrior,None,None,None,nan,,,,,,,,,, Unlimited 
3759,Generation Force,GENF-EN091,Super Rare,Vision HERO Trinity,Monster,DARK,2500,2000,8.0,None,nan,Warrior , Fusion , Effect,None,Unclassified, Continuous, Continuous,,,,,,,, Unlimited 
3760,Metal Raiders,MRD-138,Ultra Rare,Mirror Force,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3761,Clash of Rebellions,CORE-EN042,Secret Rare,Archfiend Eccentrick,Monster,LIGHT,800,1000,3.0,None,nan,Fiend , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Condition, Monster Effect, Ignition, Condition,,,,, Unlimited 
3762,Duelist Revolution,DREV-EN012,Super Rare,Unibird,Monster,WIND,100,600,2.0,None,nan,Winged Beast , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3763,Crimson Crisis,CRMS-EN064,Super Rare,Spirit Force,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
3764,Circuit Break,CIBR-EN006,Common,Gouki Headbatt,Monster,EARTH,800,0,2.0,None,nan,Warrior , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
3765,Strike of Neos,STON-EN041,Common,"""A"" Cell Scatter Burst",Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3766,Invasion: Vengeance,INOV-EN056,Rare,Super Koi Koi,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Ignition-like, Condition,,,,,,,, Unlimited 
3767,Eternity Code,ETCO-EN065,Super Rare,Void Apocalypse,Spell,nan,,None,,None,Continuous,nan,None,None,None,Ignition-like, Ignition-like, Condition,,,,,,,, Unlimited 
3768,Ghosts From the Past: The 2nd Haunting,GFP2-EN160,Ultra Rare,Dark Contract with the Swamp King,Spell,nan,,None,,None,Continuous,nan,None,None,None,Ignition-like, Condition, Trigger-like,,,,,,,, Unlimited 
3769,Secrets of Eternity,SECE-EN028,Rare,Dance Princess of the Nekroz,Monster,WATER,1600,800,4.0,None,nan,Spellcaster , Effect,None,None,Continuous, Continuous, Trigger, Condition,,,,,,, Unlimited 
3770,Ghosts From the Past: The 2nd Haunting,GFP2-EN149,Ultra Rare,Crystron Halqifibrax,Monster,WATER,1500,None,,2,nan,Machine , Link , Effect,None,Trigger, Quick, Condition,,,,,,,, Limited 
3771,Labyrinth of Nightmare,LON-064,Super Rare,Bazoo the Soul-Eater,Monster,EARTH,1600,900,4.0,None,nan,Beast , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
3772,Starstrike Blast,STBL-EN083,Secret Rare,Spellstone Sorcerer Karood,Monster,LIGHT,800,1900,3.0,None,nan,Spellcaster , Effect,None,None,Continuous, Continuous, Ignition,,,,,,,, Unlimited 
3773,Crossed Souls,CROS-EN020,Ultra Rare,Satellarknight Zefrathuban,Monster,LIGHT,0,2100,4.0,None,nan,Warrior , Pendulum , Effect,None,Pendulum Effect , Continuous-like, Condition, Monster Effect, Trigger, Condition,,,,, Unlimited 
3774,Raging Battle,RGBT-EN050,Rare,Against the Wind,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
3775,Shadow of Infinity,SOI-EN027,Rare,Princess Pikeru,Monster,LIGHT,2000,0,4.0,None,nan,Spellcaster , Effect,None,None,Summoning condition, Summoning condition, Trigger,,,,,,,, Unlimited 
3776,Enemy of Justice,EOJ-EN019,Rare,Herald of Purple Light,Monster,LIGHT,300,500,2.0,None,nan,Fairy , Effect,None,None,Quick,,,,,,,,,, Unlimited 
